volumen;centroide_x;centroide_y;centroide_z;diametro_x;diametro_y;diametro_z;vim;mejoria
277,357388453043;13,9354 ;10,7629 ;13,6031 ;23,0731 ;48,0013 ;29,6071 ;0,5841 ;0,4103 
202,533610329906;14,1512 ;17,1447 ;17,2008 ;29,5900 ;30,6881 ;26,2685 ;0,4676 ;0,3093 
226,304354996575;14,6182 ;19,5028 ;19,4972 ;34,2404 ;32,2415 ;35,7013 ;0,4981 ;0,4919 
282,624334091352;10,4359 ;17,1055 ;18,8592 ;27,3988 ;33,4080 ;33,7704 ;0,4620 ;0,3434 
254,160726167727;12,7305 ;15,1507 ;15,9388 ;48,3005 ;26,3612 ;27,9471 ;0,6305 ;0,5323 
280,784533902455;13,0251 ;18,4218 ;14,9247 ;36,7368 ;22,6099 ;36,1754 ;0,5425 ;0,6108 
267,569697954012;18,7772 ;15,6290 ;19,4538 ;30,8352 ;45,1087 ;22,9271 ;0,5426 ;0,3824 
225,894383099858;14,9160 ;16,6219 ;19,8955 ;33,4536 ;47,5003 ;40,2939 ;0,4607 ;0,3430 
248,296981248003;12,2816 ;18,8728 ;12,8248 ;31,2946 ;33,0445 ;31,4334 ;0,6470 ;0,4121 
231,946899261298;15,2429 ;16,5066 ;17,8162 ;21,5088 ;37,3938 ;30,8767 ;0,4020 ;0,7228 
265,299126168889;16,4692 ;10,8744 ;19,2605 ;35,8329 ;47,1224 ;35,9673 ;0,6617 ;0,6733 
227,58237114887;10,1136 ;12,5261 ;11,4688 ;34,7688 ;30,6859 ;25,7272 ;0,5934 ;0,4608 
292,104793456092;13,7060 ;11,8806 ;13,4516 ;35,8460 ;20,3900 ;49,8887 ;0,6003 ;0,4693 
204,542720068024;18,1433 ;13,7281 ;10,1168 ;34,0103 ;22,6699 ;21,3079 ;0,5215 ;0,6666 
225,519338311187;13,5467 ;16,7513 ;17,5718 ;23,3559 ;20,7055 ;48,2951 ;0,6279 ;0,3892 
299,380315494254;13,4993 ;14,6085 ;19,4513 ;35,4066 ;30,0375 ;45,3569 ;0,6950 ;0,4931 
293,889878232704;14,9415 ;12,8404 ;17,1865 ;20,9427 ;28,1867 ;44,8256 ;0,4781 ;0,5248 
214,019240059254;12,5551 ;14,5615 ;14,1211 ;21,9456 ;23,5301 ;49,4933 ;0,4233 ;0,4519 
214,426710806699;12,9266 ;11,0243 ;17,3269 ;41,5068 ;25,5256 ;32,2036 ;0,5171 ;0,6942 
242,640925821285;12,4749 ;19,7046 ;10,6276 ;27,3615 ;31,0162 ;29,0305 ;0,5195 ;0,3038 
205,219672804243;11,2495 ;18,4668 ;18,6547 ;40,3483 ;37,8677 ;48,4625 ;0,5089 ;0,3027 
227,584422152374;13,0729 ;19,5548 ;18,6825 ;25,8048 ;49,2063 ;41,0884 ;0,4806 ;0,3905 
216,360487081258;17,1185 ;17,1859 ;18,7832 ;31,4973 ;29,4348 ;24,6687 ;0,4085 ;0,5055 
260,76711963334;14,9102 ;18,0013 ;13,6763 ;27,1197 ;42,0223 ;41,7621 ;0,6785 ;0,5813 
266,490159392513;19,5946 ;14,3149 ;18,2645 ;20,4705 ;33,5568 ;43,4554 ;0,6292 ;0,3831 
265,205457692927;15,8609 ;12,1724 ;14,9146 ;20,7797 ;23,4245 ;24,4126 ;0,6890 ;0,7543 
287,633728858039;14,1417 ;18,2613 ;18,5264 ;23,5295 ;48,3068 ;24,4498 ;0,5691 ;0,5104 
237,859730646131;10,2485 ;10,0505 ;16,3231 ;47,6349 ;31,3556 ;32,8133 ;0,5617 ;0,7932 
218,64395683274;19,0006 ;16,9739 ;15,5477 ;25,2971 ;34,1210 ;25,2925 ;0,5222 ;0,3023 
246,843898974338;11,9378 ;18,3532 ;18,9047 ;30,3012 ;22,0635 ;36,8309 ;0,4568 ;0,4853 
217,447159919743;18,1162 ;15,8846 ;12,4914 ;49,5387 ;46,4099 ;41,6057 ;0,5201 ;0,7934 
281,09315666984;14,5310 ;11,4772 ;12,2664 ;33,3175 ;44,1257 ;40,2242 ;0,6289 ;0,3295 
284,047271555463;10,3511 ;16,2251 ;16,4392 ;42,7262 ;32,5162 ;49,8397 ;0,4266 ;0,6462 
220,078633575487;17,1755 ;15,6688 ;15,7845 ;28,2798 ;22,1539 ;38,7865 ;0,4028 ;0,4425 
